ISB_Service,bus_stop_board,bus_stop_alight,day_of_the_week,time_start,travel_duration,frequency,punctuality,cleanliness,safety,coverage,crowdedness
A1,KR MRT,CLB,Monday,09:35:00,5 - 10 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,5.0
D1,KR MRT,CLB,Wednesday,17:30:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,5.0
D1,S17,COM3,Monday,16:45:00,5 - 10 minutes,Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral,2.0
D2,Botanic Gardens MRT (BTC),Ventus,Friday,19:50:00,5 - 10 minutes,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,4.0
D2,IT,UTown,Friday,09:30:00,10 - 15 minutes,Neutral,Neutral,Satisfied,Neutral,Satisfied,3.0
D2,COM3,KR MRT,Wednesday,19:42:17,10 - 15 minutes,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Very dissatisfied,1.0
D1,PGP Terminal,UTown,Monday,12:00:00,15 - 20 minutes,Dissatisfied,Neutral,Neutral,Neutral,Neutral,1.0
BTC (Bukit Timah Campus),KR MRT,UTown,Thursday,11:30:00,15 - 20 minutes,Neutral,Satisfied,Neutral,Neutral,Satisfied,2.0
A1,UTown,AS5,Monday,11:30:00,20 - 30 minutes,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,5.0
A2,KR MRT,Ventus,Monday,14:30:00,20 - 30 minutes,Dissatisfied,Dissatisfied,Very Satisfied,Satisfied,Dissatisfied,1.0
D1,KR MRT,UTown,Tuesday,10:45:45,15 - 20 minutes,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,4.0
D1,CLB,UTown,Friday,12:00:00,10 - 15 minutes,Neutral,Satisfied,Very Satisfied,Satisfied,Neutral,3.0
